          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
   75.000     4     4     4.0    160  15927 |   40  3001    0.0121    0.0003    0.0001 |
   76.000     4     5     4.1    162  16089 |   40  3041    0.0122    0.0003    0.0001 |
   77.000     5     5     5.0    200  16289 |   40  3081    0.0145    0.0004    0.0001 |
   78.000     5     5     5.0    200  16489 |   40  3121    0.0197    0.0005    0.0001 |
   79.000     5     5     5.0    200  16689 |   40  3161    0.0249    0.0006    0.0001 |
   80.000     5     5     5.0    200  16889 |   40  3201    0.0266    0.0007    0.0001 |
   81.000     4     5     4.8    194  17083 |   40  3241    0.0260    0.0006    0.0001 |
   82.000     4     5     4.4    178  17261 |   40  3281    0.0242    0.0006    0.0001 |
   83.000     4     5     4.1    164  17425 |   40  3321    0.0223    0.0006    0.0001 |
   84.000     4     4     4.0    160  17585 |   40  3361    0.0222    0.0006    0.0001 |
   85.000     4     4     4.0    160  17745 |   40  3401    0.0220    0.0006    0.0001 |
   86.000     4     4     4.0    160  17905 |   40  3441    0.0219    0.0005    0.0001 |
   87.000     4     4     4.0    160  18065 |   40  3481    0.0195    0.0005    0.0001 |
   88.000     4     4     4.0    160  18225 |   40  3521    0.0220    0.0005    0.0001 |
   89.000     4     4     4.0    160  18385 |   40  3561    0.0221    0.0006    0.0001 |
   90.000     4     4     4.0    160  18545 |   40  3601    0.0221    0.0006    0.0001 |
   91.000     4     4     4.0    160  18705 |   40  3641    0.0222    0.0006    0.0001 |
   92.000     4     4     4.0    160  18865 |   40  3681    0.0220    0.0006    0.0001 |
   93.000     4     4     4.0    160  19025 |   40  3721    0.0219    0.0005    0.0001 |
   94.000     4     4     4.0    160  19185 |   40  3761    0.0194    0.0005    0.0001 |
   95.000     4     5     4.1    163  19348 |   40  3801    0.0223    0.0006    0.0001 |
   96.000     5     5     5.0    200  19548 |   40  3841    0.0269    0.0007    0.0001 |
   97.000     5     5     5.0    200  19748 |   40  3881    0.0267    0.0007    0.0001 |
   98.000     5     5     5.0    200  19948 |   40  3921    0.0268    0.0007    0.0001 |
   99.000     5     5     5.0    200  20148 |   40  3961    0.0268    0.0007    0.0001 |
  100.000     5     5     5.0    200  20348 |   40  4001    0.0241    0.0006    0.0001 |
